"Congo,-Dem.-Rep."	2007	64606759	Africa	46.462	277.5518587
Liberia	2007	3193942	Africa	45.678	414.5073415
Burundi	2007	8390505	Africa	49.58	430.0706916
Zimbabwe	2007	12311143	Africa	43.487	469.7092981
Guinea-Bissau	2007	1472041	Africa	46.388	579.231743
Niger	2007	12894865	Africa	56.867	619.6768924
Eritrea	2007	4906585	Africa	58.04	641.3695236
Ethiopia	2007	76511887	Africa	52.947	690.8055759
Central-African-Republic	2007	4369038	Africa	44.741	706.016537
Gambia	2007	1688359	Africa	59.448	752.7497265
