"Congo,-Dem.-Rep."	2007	64606759	Africa	46.462	277.5518587
Liberia	2007	3193942	Africa	45.678	414.5073415
Burundi	2007	8390505	Africa	49.58	430.0706916
Zimbabwe	2007	12311143	Africa	43.487	469.7092981
Guinea-Bissau	2007	1472041	Africa	46.388	579.231743
Niger	2007	12894865	Africa	56.867	619.6768924
Eritrea	2007	4906585	Africa	58.04	641.3695236
Ethiopia	2007	76511887	Africa	52.947	690.8055759
Central-African-Republic	2007	4369038	Africa	44.741	706.016537
Gambia	2007	1688359	Africa	59.448	752.7497265
Malawi	2007	13327079	Africa	48.303	759.3499101
Mozambique	2007	19951656	Africa	42.082	823.6856205
Sierra-Leone	2007	6144562	Africa	42.568	862.5407561
Rwanda	2007	8860588	Africa	46.242	863.0884639
Togo	2007	5701579	Africa	58.42	882.9699438
Somalia	2007	9118773	Africa	48.159	926.1410683
Guinea	2007	9947814	Africa	56.007	942.6542111
Myanmar	2007	47761980	Asia	62.069	944
Afghanistan	2007	31889923	Asia	43.828	974.5803384
Comoros	2007	710960	Africa	65.152	986.1478792
Mali	2007	12031795	Africa	54.467	1042.581557
Madagascar	2007	19167654	Africa	59.443	1044.770126
Uganda	2007	29170398	Africa	51.542	1056.380121
Nepal	2007	28901790	Asia	63.785	1091.359778
Tanzania	2007	38139640	Africa	52.517	1107.482182
Haiti	2007	8502814	Americas	60.916	1201.637154
Burkina-Faso	2007	14326203	Africa	52.295	1217.032994
Zambia	2007	11746035	Africa	42.384	1271.211593
Ghana	2007	22873338	Africa	60.022	1327.60891
Bangladesh	2007	150448339	Asia	64.062	1391.253792
Benin	2007	8078314	Africa	56.728	1441.284873
Kenya	2007	35610177	Africa	54.11	1463.249282
Cote-d'Ivoire	2007	18013409	Africa	48.328	1544.750112
Lesotho	2007	2012649	Africa	42.592	1569.331442
"Korea,-Dem.-Rep."	2007	23301725	Asia	67.297	1593.06548
Sao-Tome-and-Principe	2007	199579	Africa	65.528	1598.435089
Chad	2007	10238807	Africa	50.651	1704.063724
Senegal	2007	12267493	Africa	63.062	1712.472136
Cambodia	2007	14131858	Asia	59.723	1713.778686
Mauritania	2007	3270065	Africa	64.164	1803.151496
Nigeria	2007	135031164	Africa	46.859	2013.977305
Cameroon	2007	17696293	Africa	50.43	2042.09524
Djibouti	2007	496374	Africa	54.791	2082.481567
"Yemen,-Rep."	2007	22211743	Asia	62.698	2280.769906
Vietnam	2007	85262356	Asia	74.249	2441.576404
India	2007	1110396331	Asia	64.698	2452.210407
Sudan	2007	42292929	Africa	58.556	2602.394995
Pakistan	2007	169270617	Asia	65.483	2605.94758
Nicaragua	2007	5675356	Americas	72.899	2749.320965
West-Bank-and-Gaza	2007	4018332	Asia	73.422	3025.349798
Mongolia	2007	2874127	Asia	66.803	3095.772271
Philippines	2007	91077287	Asia	71.688	3190.481016
Indonesia	2007	223547000	Asia	70.65	3540.651564
Honduras	2007	7483763	Americas	70.198	3548.330846
"Congo,-Rep."	2007	3800610	Africa	55.322	3632.557798
Morocco	2007	33757175	Africa	71.164	3820.17523
Bolivia	2007	9119152	Americas	65.554	3822.137084
Sri-Lanka	2007	20378239	Asia	72.396	3970.095407
Paraguay	2007	6667147	Americas	71.752	4172.838464
Syria	2007	19314747	Asia	74.143	4184.548089
Iraq	2007	27499638	Asia	59.545	4471.061906
Swaziland	2007	1133066	Africa	39.613	4513.480643
Jordan	2007	6053193	Asia	72.535	4519.461171
Angola	2007	12420476	Africa	42.731	4797.231267
Namibia	2007	2055080	Africa	52.906	4811.060429
China	2007	1318683096	Asia	72.961	4959.114854
Guatemala	2007	12572928	Americas	70.259	5186.050003
Egypt	2007	80264543	Africa	71.338	5581.180998
El-Salvador	2007	6939688	Americas	71.878	5728.353514
Albania	2007	3600523	Europe	76.423	5937.029526
Dominican-Republic	2007	9319622	Americas	72.235	6025.374752
Algeria	2007	33333216	Africa	72.301	6223.367465
Ecuador	2007	13755680	Americas	74.994	6873.262326
Colombia	2007	44227550	Americas	72.889	7006.580419
Tunisia	2007	10276158	Africa	73.923	7092.923025
Jamaica	2007	2780132	Americas	72.567	7320.880262
Peru	2007	28674757	Americas	71.421	7408.905561
Bosnia-and-Herzegovina	2007	4552198	Europe	74.852	7446.298803
Thailand	2007	65068149	Asia	70.616	7458.396327
Reunion	2007	798094	Africa	76.442	7670.122558
Turkey	2007	71158647	Europe	71.777	8458.276384
Cuba	2007	11416987	Americas	78.273	8948.102923
Brazil	2007	190010647	Americas	72.39	9065.800825
Montenegro	2007	684736	Europe	74.543	9253.896111
South-Africa	2007	43997828	Africa	49.339	9269.657808
Costa-Rica	2007	4133884	Americas	78.782	9645.06142
Serbia	2007	10150265	Europe	74.002	9786.534714
Panama	2007	3242173	Americas	75.537	9809.185636
Lebanon	2007	3921278	Asia	71.993	10461.05868
Uruguay	2007	3447496	Americas	76.384	10611.46299
Bulgaria	2007	7322858	Europe	73.005	10680.79282
Romania	2007	22276056	Europe	72.476	10808.47561
Mauritius	2007	1250882	Africa	72.801	10956.99112
Venezuela	2007	26084662	Americas	73.747	11415.80569
Iran	2007	69453570	Asia	70.964	11605.71449
Mexico	2007	108700891	Americas	76.195	11977.57496
Libya	2007	6036914	Africa	73.952	12057.49928
Equatorial-Guinea	2007	551201	Africa	51.579	12154.08975
Malaysia	2007	24821286	Asia	74.241	12451.6558
Botswana	2007	1639131	Africa	50.728	12569.85177
Argentina	2007	40301927	Americas	75.32	12779.37964
Chile	2007	16284741	Americas	78.553	13171.63885
Gabon	2007	1454867	Africa	56.735	13206.48452
Croatia	2007	4493312	Europe	75.748	14619.22272
Poland	2007	38518241	Europe	75.563	15389.92468
Trinidad-and-Tobago	2007	1056608	Americas	69.819	18008.50924
Hungary	2007	9956108	Europe	73.338	18008.94444
Slovak-Republic	2007	5447502	Europe	74.663	18678.31435
Puerto-Rico	2007	3942491	Americas	78.746	19328.70901
Portugal	2007	10642836	Europe	78.098	20509.64777
Saudi-Arabia	2007	27601038	Asia	72.777	21654.83194
Oman	2007	3204897	Asia	75.64	22316.19287
Czech-Republic	2007	10228744	Europe	76.486	22833.30851
"Korea,-Rep."	2007	49044790	Asia	78.623	23348.13973
New-Zealand	2007	4115771	Oceania	80.204	25185.00911
Israel	2007	6426679	Asia	80.745	25523.2771
Slovenia	2007	2009245	Europe	77.926	25768.25759
Greece	2007	10706290	Europe	79.483	27538.41188
Italy	2007	58147733	Europe	80.546	28569.7197
Taiwan	2007	23174294	Asia	78.4	28718.27684
Spain	2007	40448191	Europe	80.941	28821.0637
Bahrain	2007	708573	Asia	75.635	29796.04834
France	2007	61083916	Europe	80.657	30470.0167
