country	year	pop	continent	lifeExp	gdpPercap
Myanmar	1992	40546538	Asia	59.32	347
Mozambique	1992	13160731	Africa	44.284	410.8968239
Ethiopia	1992	52088559	Africa	48.091	421.3534653
"Congo,-Dem.-Rep."	1992	41672143	Africa	45.548	457.7191807
Malawi	1992	10014249	Africa	49.42	563.2000145
Niger	1992	8392818	Africa	47.391	581.182725
Eritrea	1992	3668440	Africa	49.991	582.8585102
Burundi	1992	5809236	Africa	44.736	631.6998778
Liberia	1992	1912974	Africa	40.802	636.6229191
Uganda	1992	18252190	Africa	48.825	644.1707969
