country	year	pop	continent	lifeExp	gdpPercap
Kuwait	1992	1418095	Asia	75.19	34932.91959
Norway	1992	4286357	Europe	77.32	33965.66115
United-States	1992	256894189	Americas	76.09	32003.93224
Switzerland	1992	6995447	Europe	78.03	31871.5303
Austria	1992	7914969	Europe	76.04	27042.01868
Japan	1992	124329269	Asia	79.36	26824.89511
Netherlands	1992	15174244	Europe	77.42	26790.94961
Germany	1992	80597764	Europe	76.07	26505.30317
Denmark	1992	5171393	Europe	75.33	26406.73985
Canada	1992	28523502	Americas	77.95	26342.88426
